crop_type,area_hectares,days_since_sowing,ndvi_trend,avg_temp,cum_rainfall,yield_kg
COTTON,0.63,74,0.793,27.1,517.0,999.24
MAIZE,2.33,91,0.633,18.7,145.8,7541.67
MAIZE,7.98,15,0.12,31.9,696.8,18639.96
RICE,6.31,102,0.508,17.7,251.4,17772.09
RICE,1.04,98,0.768,29.1,124.8,3111.94
MAIZE,4.03,109,0.76,16.5,516.0,24451.88
MAIZE,1.44,91,0.142,20.5,764.1,3292.93
PULSES,7.49,70,0.728,20.1,750.0,7346.05
WHEAT,2.19,30,0.344,30.9,189.1,2666.96
PULSES,6.63,37,0.67,25.7,516.4,6258.78
MAIZE,4.13,65,0.726,16.0,59.0,17251.8
COTTON,7.1,53,0.836,30.6,73.8,8065.37
WHEAT,4.21,116,0.417,22.2,357.0,10824.7
RICE,0.59,69,0.713,16.2,421.2,2251.49
SUGARCANE,9.67,23,0.452,24.2,192.1,556611.75
PULSES,4.79,30,0.691,31.3,474.8,4857.45
COTTON,8.9,109,0.687,15.5,667.7,12973.6
PULSES,7.85,62,0.64,17.2,175.4,5243.34
RICE,5.0,10,0.711,23.1,787.4,21218.34
WHEAT,7.72,85,0.623,17.6,320.4,17062.67
COTTON,0.65,97,0.832,20.4,111.7,784.86
PULSES,7.44,84,0.798,23.9,681.9,7647.92
COTTON,6.36,63,0.501,27.5,286.9,7421.85
WHEAT,4.97,30,0.545,21.0,467.9,13321.84
PULSES,1.77,54,0.486,25.8,134.0,850.78
RICE,1.51,95,0.841,25.7,741.6,6372.21
COTTON,5.63,113,0.304,29.7,651.8,3508.02
MAIZE,5.05,64,0.618,25.3,366.0,23546.48
COTTON,9.99,12,0.704,24.1,67.7,11825.99
COTTON,8.3,32,0.132,15.7,268.7,4637.24
WHEAT,1.31,86,0.731,29.7,623.1,4811.0
WHEAT,4.23,42,0.589,34.6,259.0,8991.87
COTTON,3.07,20,0.673,26.5,445.8,4973.59
COTTON,2.28,12,0.85,19.0,595.1,3832.09
PULSES,1.91,11,0.716,32.6,621.0,1527.22
RICE,0.67,76,0.809,29.9,795.5,2934.27
SUGARCANE,1.56,12,0.754,30.4,476.1,115194.86
MAIZE,1.63,10,0.841,32.0,338.4,11030.14
PULSES,1.95,40,0.749,33.7,606.6,1654.38
SUGARCANE,9.48,305,0.578,27.4,341.2,533097.86
PULSES,3.7,79,0.376,33.9,700.0,1137.59
COTTON,10.0,109,0.66,33.4,662.0,14687.6
SUGARCANE,3.13,122,0.674,16.9,676.3,226736.98
RICE,9.33,76,0.476,28.2,466.5,29466.02
MAIZE,3.63,28,0.631,21.2,779.6,16882.31
MAIZE,8.15,95,0.723,21.5,229.4,53321.34
RICE,4.74,58,0.276,20.0,486.5,7738.75
COTTON,4.6,47,0.423,26.0,250.2,5599.47
RICE,8.2,100,0.618,28.8,164.2,25289.52
WHEAT,5.38,83,0.143,32.8,155.6,5871.51
SUGARCANE,8.93,264,0.715,17.7,220.6,644391.54
PULSES,9.72,62,0.84,19.4,796.8,9158.4
MAIZE,1.33,89,0.804,34.0,463.7,7335.96
SUGARCANE,1.6,224,0.282,30.7,780.9,44109.86
RICE,3.23,120,0.427,15.6,398.5,8998.11
RICE,3.01,62,0.667,26.2,441.8,13188.75
RICE,1.35,105,0.158,33.1,475.8,1926.0
PULSES,4.56,54,0.656,33.1,759.9,3919.87
RICE,5.23,64,0.715,34.1,628.9,20011.09
MAIZE,3.46,102,0.825,28.1,720.4,23928.63
COTTON,9.88,86,0.843,17.1,116.1,9999.74
MAIZE,5.24,105,0.636,34.3,281.8,22117.52
MAIZE,2.73,81,0.124,35.0,451.1,5381.62
MAIZE,7.69,105,0.598,28.4,187.5,36738.75
RICE,5.34,118,0.812,33.7,748.9,20537.14
WHEAT,8.63,80,0.377,27.4,381.4,11596.28
SUGARCANE,4.7,148,0.47,24.3,110.4,177969.28
RICE,6.57,56,0.733,33.7,654.7,24088.49
SUGARCANE,5.09,164,0.136,21.3,253.9,138379.44
RICE,3.42,63,0.581,26.0,760.6,10561.85
MAIZE,8.01,65,0.545,30.0,172.7,37512.86
WHEAT,0.66,112,0.466,20.7,663.8,1734.61
RICE,6.87,88,0.689,26.0,448.4,30117.97
RICE,8.64,64,0.695,28.5,641.7,38017.68
SUGARCANE,8.16,43,0.705,31.0,452.6,659300.73
COTTON,2.97,14,0.67,17.0,82.8,2961.08
MAIZE,3.45,94,0.42,29.5,235.4,15780.53
PULSES,4.31,49,0.628,23.5,667.8,3022.43
WHEAT,1.45,139,0.847,19.1,96.9,3643.85
RICE,6.15,80,0.549,33.2,87.1,11228.88
MAIZE,0.81,11,0.834,24.5,137.6,3595.11
PULSES,5.22,22,0.743,28.0,361.2,5312.85
RICE,8.9,106,0.835,30.2,754.9,39879.54
SUGARCANE,9.79,36,0.462,26.6,263.7,574455.89
COTTON,8.3,94,0.621,27.6,107.8,7291.46
MAIZE,2.62,77,0.674,24.5,174.9,17341.26
COTTON,5.46,10,0.806,27.0,92.2,6133.95
RICE,9.48,23,0.761,25.2,634.4,41586.79
WHEAT,1.73,61,0.611,26.8,790.9,4318.66
COTTON,7.86,147,0.718,19.5,385.6,12864.24
RICE,9.05,10,0.707,15.3,592.1,36013.75
MAIZE,4.92,74,0.684,20.1,701.1,31478.86
WHEAT,2.53,111,0.147,31.5,343.0,3088.8
COTTON,6.22,107,0.819,20.2,549.8,9770.3
COTTON,6.98,101,0.774,17.4,483.5,10865.47
MAIZE,7.12,28,0.661,17.3,354.9,41439.3
WHEAT,4.19,11,0.652,19.0,84.8,10779.47
PULSES,5.47,43,0.438,32.0,577.1,4015.14
SUGARCANE,5.61,123,0.708,32.1,427.5,356907.96
RICE,3.36,23,0.544,31.2,660.5,10554.59
WHEAT,0.95,35,0.664,24.5,323.5,3446.84
SUGARCANE,9.9,158,0.809,19.6,700.8,771025.63
MAIZE,2.71,80,0.651,15.3,138.9,11562.34
COTTON,4.5,49,0.814,26.7,368.4,7765.92
MAIZE,4.99,80,0.799,33.3,133.4,19685.89
RICE,9.11,73,0.67,19.7,329.1,40335.68
SUGARCANE,1.44,195,0.725,33.8,84.2,67104.69
SUGARCANE,4.89,126,0.405,20.9,269.5,280915.43
MAIZE,7.83,64,0.512,15.7,98.5,22734.94
COTTON,2.43,138,0.722,31.1,616.0,4001.76
PULSES,7.65,71,0.415,17.0,288.5,5194.5
SUGARCANE,0.65,105,0.471,16.5,276.3,33895.71
PULSES,4.86,33,0.682,18.5,244.7,4932.52
PULSES,5.52,28,0.445,25.3,275.2,3793.84
COTTON,4.57,44,0.781,22.5,205.2,7524.09
RICE,8.67,100,0.718,29.5,775.2,37769.9
COTTON,7.07,101,0.452,25.6,591.5,8768.97
SUGARCANE,1.0,353,0.591,25.3,752.1,58764.43
SUGARCANE,6.95,100,0.717,22.4,226.5,508715.0
RICE,7.03,116,0.435,19.0,363.6,21559.73
MAIZE,6.16,67,0.701,15.2,193.9,37162.08
MAIZE,4.41,17,0.52,32.6,424.9,17703.12
MAIZE,2.01,19,0.823,19.8,635.9,12947.18
WHEAT,5.03,113,0.431,29.6,185.2,13142.28
WHEAT,9.47,47,0.671,16.5,398.6,29613.92
COTTON,4.55,40,0.131,18.3,634.6,2636.53
SUGARCANE,4.03,157,0.76,26.5,224.5,306424.82
RICE,8.44,84,0.767,31.1,190.4,38615.83
PULSES,4.43,82,0.403,34.9,717.9,2625.59
COTTON,3.05,29,0.759,32.4,387.9,4441.69
RICE,9.26,113,0.216,18.9,715.3,14133.48
MAIZE,7.01,14,0.69,18.7,676.3,44801.87
MAIZE,4.08,38,0.607,23.8,472.4,20137.29
COTTON,9.8,11,0.842,15.7,348.3,15178.24
MAIZE,1.08,54,0.547,34.7,293.8,4494.03
WHEAT,7.51,67,0.79,34.8,419.9,22561.86
RICE,2.02,83,0.728,22.0,85.8,6517.09
SUGARCANE,8.26,40,0.736,23.4,346.3,625279.38
WHEAT,4.81,52,0.711,34.5,491.1,14053.0
PULSES,6.45,57,0.795,25.1,459.6,6258.65
RICE,4.48,73,0.319,31.9,66.3,4789.1
RICE,6.82,23,0.818,18.4,84.8,20346.38
RICE,9.09,109,0.472,31.3,514.8,28446.59
SUGARCANE,5.94,27,0.685,18.1,767.8,445820.46
WHEAT,0.56,52,0.663,18.1,330.7,2001.16
MAIZE,3.77,17,0.827,19.5,303.2,24455.42
PULSES,6.99,14,0.731,25.1,465.8,6961.8
PULSES,7.94,89,0.805,18.9,171.7,8135.57
COTTON,9.23,119,0.812,15.5,473.2,14036.08
PULSES,2.69,26,0.589,30.1,117.8,1407.24
RICE,4.72,52,0.494,33.2,508.8,12985.77
RICE,1.62,41,0.216,16.5,394.8,2353.33
MAIZE,2.02,11,0.769,32.3,530.7,11407.4
COTTON,3.75,35,0.686,23.9,577.2,5939.92
MAIZE,2.71,61,0.735,34.0,405.1,14672.73
SUGARCANE,6.48,214,0.671,33.1,575.9,440671.63
COTTON,1.64,68,0.764,18.2,606.4,2714.94
MAIZE,3.5,27,0.688,29.1,97.1,16478.98
MAIZE,3.87,50,0.692,30.4,125.3,18129.44
MAIZE,2.76,16,0.738,33.3,395.7,14925.66
COTTON,6.25,42,0.798,32.2,165.0,8409.24
SUGARCANE,2.74,140,0.562,29.0,454.8,147447.57
WHEAT,7.49,11,0.759,24.9,373.6,26718.21
SUGARCANE,2.38,116,0.582,26.8,789.6,132347.02
RICE,3.9,89,0.148,24.3,457.2,6108.86
COTTON,3.11,143,0.751,30.7,601.4,5147.1
PULSES,5.64,51,0.571,24.6,353.4,3927.57
PULSES,5.33,60,0.782,30.6,321.8,5500.42
PULSES,8.81,57,0.767,18.4,169.3,8445.91
MAIZE,0.58,23,0.721,30.9,750.4,3791.92
MAIZE,4.75,80,0.768,20.0,185.2,29822.35
WHEAT,8.03,72,0.125,26.4,181.3,9776.24
RICE,6.25,93,0.684,28.9,79.8,19076.58
RICE,2.99,116,0.599,16.1,485.5,8551.19
WHEAT,1.13,82,0.405,19.6,106.2,2073.02
RICE,5.96,41,0.69,27.4,150.9,25693.96
COTTON,1.39,66,0.651,15.9,773.8,2153.27
WHEAT,4.88,19,0.706,17.2,563.8,15333.05
RICE,5.0,65,0.494,19.4,444.3,16703.03
RICE,0.64,51,0.685,20.4,117.6,2035.49
PULSES,1.89,38,0.449,32.3,198.7,1146.31
RICE,6.61,111,0.468,16.9,376.5,18346.18
WHEAT,7.3,109,0.83,20.8,736.5,24916.45
WHEAT,4.91,109,0.745,23.4,738.9,16473.73
PULSES,2.48,42,0.443,34.5,664.1,1575.43
RICE,5.0,119,0.752,23.8,798.5,22738.97
COTTON,6.39,58,0.789,15.8,176.5,9546.43
COTTON,3.42,78,0.749,19.4,309.0,5801.51
WHEAT,5.26,109,0.74,30.2,58.1,12777.81
MAIZE,7.84,57,0.491,30.2,363.5,37887.22
MAIZE,7.04,32,0.737,29.1,97.4,30937.88
RICE,6.16,39,0.717,32.7,411.3,24060.4
WHEAT,1.37,81,0.806,27.1,676.4,4596.95
WHEAT,5.03,29,0.735,21.1,684.8,17944.79
PULSES,1.39,38,0.841,25.5,256.9,1370.19
COTTON,7.41,31,0.74,28.0,692.1,12689.24
MAIZE,9.01,69,0.825,30.1,353.1,61991.02
RICE,3.99,48,0.421,22.5,438.1,12907.08
RICE,9.41,29,0.835,18.3,682.3,39379.73
SUGARCANE,3.43,30,0.556,31.8,338.8,188047.39
WHEAT,3.95,119,0.83,19.6,236.0,13580.05
COTTON,6.13,72,0.729,27.9,549.4,9631.28
COTTON,4.97,40,0.677,29.7,365.5,8518.56
COTTON,9.16,81,0.547,30.4,389.1,11153.63
COTTON,3.63,138,0.562,31.2,85.0,3040.27
WHEAT,5.94,62,0.813,28.9,570.2,21679.2
SUGARCANE,7.68,214,0.819,31.0,528.3,611948.82
PULSES,6.55,83,0.816,28.9,94.0,4606.29
SUGARCANE,4.51,49,0.73,29.5,72.3,240433.35
WHEAT,8.47,27,0.683,33.6,557.1,26304.38
COTTON,2.32,55,0.522,27.3,554.7,2802.56
SUGARCANE,9.34,261,0.681,29.0,774.3,738559.34
WHEAT,4.9,127,0.621,25.7,666.8,12303.11
MAIZE,2.13,85,0.656,29.4,493.5,14320.83
PULSES,2.73,21,0.457,21.5,565.3,1993.07
PULSES,0.68,46,0.763,34.6,387.2,600.48
SUGARCANE,2.21,325,0.758,18.8,325.9,178614.42
SUGARCANE,2.04,149,0.832,29.8,258.5,161577.98
RICE,7.13,110,0.563,29.8,399.4,22904.47
COTTON,4.98,11,0.725,27.8,547.5,8363.1
MAIZE,8.89,77,0.801,33.1,88.9,34490.75
MAIZE,8.88,84,0.291,33.0,540.5,17378.19
RICE,2.4,67,0.427,16.1,499.3,6674.28
PULSES,3.33,67,0.449,25.3,454.6,2401.82
RICE,4.82,61,0.683,33.9,462.7,18299.51
MAIZE,8.41,77,0.839,28.2,64.4,37483.83
SUGARCANE,6.77,183,0.153,27.9,523.5,181765.62
COTTON,5.63,118,0.299,29.4,713.4,3339.11
RICE,2.13,70,0.676,26.1,447.8,9691.28
WHEAT,6.44,126,0.801,18.5,742.1,21976.54
MAIZE,3.17,37,0.769,27.6,187.9,20405.4
SUGARCANE,6.96,258,0.419,15.2,609.8,361676.07
PULSES,1.85,30,0.49,23.2,63.9,894.17
WHEAT,9.59,127,0.652,26.0,249.7,33592.57
PULSES,1.06,88,0.802,15.0,738.7,924.97
COTTON,3.52,88,0.721,29.0,368.7,5808.72
RICE,7.15,114,0.723,33.8,559.8,28000.23
COTTON,8.36,79,0.616,25.9,139.1,7285.23
SUGARCANE,4.79,265,0.724,33.8,350.0,302603.98
WHEAT,9.63,69,0.726,31.1,503.2,34321.08
SUGARCANE,4.37,309,0.725,21.2,662.4,352230.69
PULSES,9.1,27,0.628,18.7,443.3,6345.3
COTTON,5.85,42,0.733,16.5,390.3,9062.03
SUGARCANE,4.38,106,0.49,34.7,731.5,217827.91
PULSES,8.3,85,0.275,34.0,461.1,2467.5
SUGARCANE,7.48,214,0.743,24.9,508.2,568597.44
COTTON,0.62,41,0.755,16.0,760.6,949.01
SUGARCANE,8.22,58,0.771,29.9,782.0,639237.16
WHEAT,9.91,113,0.651,16.3,273.1,31873.25
PULSES,7.13,61,0.773,29.9,100.5,5085.57
PULSES,6.69,39,0.609,29.6,473.0,4680.83
RICE,0.66,76,0.519,18.0,526.7,2121.2
WHEAT,0.82,121,0.6,22.7,169.8,2159.22
PULSES,1.79,11,0.844,28.0,91.7,1201.1
MAIZE,8.4,13,0.747,23.5,506.5,57105.42
SUGARCANE,9.46,296,0.216,33.3,476.3,235882.27
SUGARCANE,9.25,27,0.606,23.0,148.8,344626.42
COTTON,6.76,72,0.401,27.3,356.8,8466.05
COTTON,5.93,132,0.803,33.3,531.5,8542.41
RICE,3.44,111,0.242,17.4,172.5,4817.64
RICE,6.74,71,0.476,23.1,59.5,15091.86
COTTON,2.37,53,0.848,22.0,219.3,3748.67
SUGARCANE,7.74,101,0.143,21.7,516.5,223998.0
SUGARCANE,7.36,312,0.747,19.2,80.2,388701.29
WHEAT,8.2,89,0.74,26.0,50.1,19741.98
COTTON,0.74,146,0.676,19.5,789.8,1272.65
RICE,7.07,70,0.665,30.1,103.5,21712.92
RICE,9.79,98,0.806,22.1,412.5,41951.25
PULSES,2.08,78,0.666,22.0,194.4,2008.91
SUGARCANE,8.23,295,0.522,21.9,458.5,441479.43
PULSES,8.17,51,0.508,20.4,650.6,5819.11
MAIZE,2.86,95,0.73,27.9,665.9,17937.28
MAIZE,0.61,41,0.592,29.3,289.2,2872.88
SUGARCANE,3.12,19,0.172,33.5,583.9,71654.15
RICE,8.14,13,0.541,22.9,170.2,27193.52
PULSES,0.88,75,0.814,26.1,563.4,851.92
PULSES,7.57,66,0.652,22.8,168.1,7642.55
RICE,9.72,58,0.737,27.0,700.2,43719.05
MAIZE,7.35,26,0.837,27.1,401.3,47363.45
RICE,5.28,74,0.321,31.8,415.5,8452.72
SUGARCANE,5.8,31,0.658,28.6,138.1,318850.25
RICE,5.64,102,0.551,34.6,699.2,14694.74
WHEAT,6.97,47,0.491,16.9,452.8,16144.87
SUGARCANE,0.95,93,0.458,28.2,133.6,37821.68
RICE,3.31,68,0.561,18.2,63.6,7211.16
COTTON,6.94,131,0.705,29.2,272.2,11710.26
RICE,8.7,96,0.585,33.4,721.6,22669.94
RICE,3.25,105,0.774,21.8,232.9,13974.39
COTTON,8.14,114,0.731,20.0,577.3,13533.37
RICE,3.95,11,0.727,29.8,275.9,16736.49
COTTON,8.22,124,0.831,25.3,86.3,9900.57
RICE,4.24,15,0.698,31.6,328.2,17964.36
SUGARCANE,8.93,54,0.503,31.7,517.9,504469.12
RICE,8.67,85,0.674,18.3,654.1,37145.69
RICE,1.86,27,0.702,18.2,200.0,8546.35
MAIZE,5.9,99,0.696,17.2,537.0,33947.91
COTTON,0.9,146,0.677,34.3,311.6,1301.98
COTTON,9.38,92,0.705,27.6,763.9,14771.01
MAIZE,7.6,87,0.707,21.6,435.3,48275.77
RICE,6.49,25,0.543,22.0,312.8,20168.56
MAIZE,7.74,60,0.146,18.4,645.7,18336.36
RICE,5.19,73,0.79,22.6,226.1,23547.61
RICE,8.2,117,0.758,15.6,57.9,22614.27
PULSES,1.97,63,0.218,17.6,315.0,669.83
MAIZE,5.29,13,0.841,28.6,100.9,23780.9
PULSES,6.53,21,0.812,21.3,90.5,4537.31
SUGARCANE,1.09,76,0.71,19.2,493.0,82315.11
SUGARCANE,3.02,202,0.312,22.3,122.8,61036.72
PULSES,9.42,69,0.714,24.2,479.5,9545.27
PULSES,9.36,83,0.737,29.9,275.3,9468.88
SUGARCANE,2.54,179,0.675,19.7,710.8,199755.3
COTTON,3.01,127,0.841,22.5,401.5,5101.59
WHEAT,9.94,132,0.592,16.8,249.0,23716.01
PULSES,1.45,33,0.771,23.6,231.4,1390.95
WHEAT,7.06,132,0.787,19.2,798.7,24614.8
MAIZE,0.88,81,0.193,30.3,661.6,2203.82
COTTON,4.07,57,0.738,33.4,516.5,5827.54
WHEAT,7.35,96,0.411,19.8,186.8,18957.56
MAIZE,7.04,10,0.773,19.6,648.8,46539.58
MAIZE,1.81,48,0.664,26.8,162.0,12075.15
PULSES,5.09,51,0.479,20.4,306.6,3810.18
RICE,9.19,66,0.764,27.2,102.1,28449.88
WHEAT,1.68,10,0.494,20.7,234.4,4375.39
WHEAT,7.85,120,0.31,18.0,146.2,6998.01
COTTON,2.57,29,0.795,29.0,75.3,2938.2
MAIZE,7.44,13,0.228,19.1,321.1,17388.24
RICE,3.68,50,0.751,21.1,522.6,15519.73
RICE,6.58,111,0.575,17.6,422.0,18037.94
PULSES,8.75,70,0.488,18.3,390.1,6071.76
SUGARCANE,9.3,230,0.403,15.8,579.9,454232.35
SUGARCANE,6.79,192,0.591,33.9,712.3,332753.5
COTTON,7.42,82,0.703,26.9,534.3,11886.56
SUGARCANE,9.29,310,0.537,24.7,480.7,522408.54
MAIZE,8.5,86,0.462,33.3,429.6,33065.24
PULSES,6.39,50,0.403,20.6,576.7,4675.26
WHEAT,8.32,121,0.676,29.9,781.5,28575.5
COTTON,1.46,35,0.76,29.1,710.4,2482.61
RICE,6.78,23,0.708,33.7,221.0,24130.63
PULSES,1.2,67,0.79,33.4,172.5,1051.16
SUGARCANE,9.74,165,0.187,31.5,746.9,263491.58
COTTON,7.29,139,0.415,25.3,425.9,8434.25
WHEAT,2.45,133,0.781,34.5,267.6,7248.25
RICE,4.15,19,0.158,29.5,481.7,6553.73
MAIZE,4.94,83,0.844,34.4,343.6,28414.66
MAIZE,5.4,97,0.704,30.5,340.1,37007.13
SUGARCANE,2.79,11,0.606,23.9,201.0,160989.46
RICE,8.47,17,0.678,16.7,350.6,31888.99
COTTON,3.57,91,0.564,23.1,258.3,4283.68
SUGARCANE,9.5,175,0.802,32.8,314.0,652316.47
WHEAT,2.92,120,0.651,22.7,384.8,10300.0
COTTON,8.18,43,0.661,16.4,337.0,11850.12
RICE,1.96,42,0.462,30.4,491.5,6254.63
MAIZE,0.55,35,0.731,25.7,369.4,3634.56
WHEAT,8.45,130,0.575,24.1,768.7,21433.44
RICE,8.88,48,0.464,33.3,434.5,23939.15
WHEAT,0.93,95,0.53,29.7,217.5,2495.82
MAIZE,7.59,37,0.766,26.7,374.9,47920.99
SUGARCANE,5.02,258,0.621,32.9,708.2,230228.57
MAIZE,3.7,29,0.672,22.3,507.0,24485.02
MAIZE,3.52,15,0.721,30.4,613.8,23213.75
SUGARCANE,9.75,17,0.75,27.8,217.1,732072.45
RICE,8.94,84,0.583,15.9,543.4,25572.62
WHEAT,7.31,74,0.78,31.2,83.2,17531.41
RICE,3.86,77,0.583,21.6,260.3,12773.86
RICE,4.95,118,0.658,16.9,608.1,19925.41
COTTON,3.21,121,0.772,34.1,135.3,3091.15
SUGARCANE,9.04,146,0.299,29.4,201.1,253141.77
PULSES,1.73,87,0.778,32.5,572.2,1500.34
MAIZE,1.51,63,0.779,19.4,778.3,9895.6
PULSES,6.61,80,0.775,20.6,394.4,6765.51
MAIZE,9.32,36,0.846,18.8,51.9,42640.11
SUGARCANE,2.53,338,0.125,16.8,659.0,66454.94
RICE,4.95,74,0.806,32.7,667.5,19108.57
SUGARCANE,3.47,328,0.817,33.7,745.9,221105.91
COTTON,7.39,66,0.429,27.5,759.4,8448.52
WHEAT,8.9,68,0.816,16.1,581.3,29031.4
COTTON,3.51,79,0.571,27.6,386.0,4284.07
SUGARCANE,3.17,248,0.268,29.1,103.0,63940.42
COTTON,5.22,90,0.755,34.8,708.9,7353.74
SUGARCANE,7.01,241,0.511,16.3,487.4,346958.86
SUGARCANE,1.05,307,0.752,27.2,584.2,79965.55
COTTON,8.35,63,0.76,23.9,204.0,13120.11
WHEAT,9.62,132,0.68,26.9,560.9,32780.18
PULSES,7.97,87,0.82,29.8,460.4,8132.75
RICE,1.97,82,0.53,27.9,685.5,6483.12
RICE,5.35,27,0.406,31.6,55.3,11866.31
PULSES,7.72,86,0.674,24.1,149.0,5339.82
WHEAT,6.1,46,0.771,19.6,256.2,21915.27
PULSES,9.33,65,0.546,24.1,84.7,4802.88
RICE,4.5,51,0.773,32.2,637.2,17444.35
WHEAT,3.71,124,0.747,19.7,126.2,8840.51
PULSES,9.04,37,0.716,27.6,561.0,9189.12
COTTON,6.92,18,0.779,25.5,513.4,11618.39
PULSES,2.62,45,0.467,15.9,325.7,1699.31
WHEAT,1.49,29,0.712,24.7,88.6,3825.46
RICE,7.65,39,0.33,32.0,198.8,12283.76
COTTON,1.58,110,0.586,27.0,607.7,1911.69
COTTON,8.84,125,0.529,32.5,156.6,9141.96
MAIZE,8.14,90,0.735,20.8,359.0,53579.1
MAIZE,0.74,107,0.338,23.5,692.2,1856.59
RICE,1.13,37,0.278,24.6,618.8,1809.09
WHEAT,8.75,100,0.75,24.1,737.7,31112.37
PULSES,6.86,66,0.752,34.2,630.5,5604.35
RICE,1.8,116,0.762,33.4,546.4,6827.95
WHEAT,2.65,86,0.821,29.7,101.7,6429.67
PULSES,2.92,41,0.809,15.5,399.9,2525.57
MAIZE,8.05,70,0.493,29.5,309.0,39150.78
MAIZE,5.68,93,0.775,20.4,748.9,39096.56
RICE,4.53,66,0.653,18.2,174.2,19959.15
RICE,4.34,80,0.817,20.7,798.8,18576.45
MAIZE,8.46,95,0.79,16.2,493.1,51846.9
WHEAT,7.09,125,0.797,17.6,657.8,23268.44
SUGARCANE,4.35,350,0.458,19.0,750.7,251198.07
COTTON,9.64,99,0.317,26.5,534.4,5717.18
WHEAT,1.61,58,0.74,17.5,609.7,5350.38
COTTON,4.64,29,0.849,29.9,736.5,7485.95
RICE,1.78,118,0.432,29.0,215.1,5760.77
SUGARCANE,0.88,116,0.633,26.1,718.3,49221.96
SUGARCANE,7.53,58,0.74,16.4,162.3,511623.54
COTTON,1.64,85,0.683,19.9,693.8,2587.66
MAIZE,8.59,56,0.711,32.4,332.7,46033.63
SUGARCANE,4.15,260,0.491,16.3,488.4,214398.16
PULSES,9.09,58,0.552,22.1,618.5,6636.01
COTTON,7.01,106,0.463,16.9,505.9,7212.19
SUGARCANE,3.57,101,0.48,16.3,591.5,174679.25
MAIZE,7.91,97,0.76,24.6,185.4,54349.6
WHEAT,5.94,86,0.698,19.7,239.5,20618.58
COTTON,7.45,31,0.746,26.6,198.5,12117.45
RICE,2.98,110,0.755,24.3,667.9,12736.55
WHEAT,8.81,12,0.767,20.7,380.6,31478.33
COTTON,1.4,59,0.756,22.5,88.7,1552.3
PULSES,5.59,41,0.691,16.7,119.1,3334.79
WHEAT,4.61,115,0.671,31.0,414.4,16305.91
SUGARCANE,4.83,33,0.497,25.5,367.4,260441.78
COTTON,8.47,114,0.556,15.0,697.8,9442.12
PULSES,2.38,19,0.703,29.1,197.1,2333.64
RICE,2.25,16,0.75,32.5,782.6,8576.05
MAIZE,9.14,12,0.62,17.8,266.2,37887.94
MAIZE,7.99,13,0.746,17.1,106.5,32623.61
SUGARCANE,5.88,19,0.822,23.5,237.4,468552.47
SUGARCANE,1.84,79,0.467,15.6,289.6,96158.52
SUGARCANE,1.74,350,0.724,17.8,70.6,88297.57
PULSES,6.33,15,0.427,19.2,450.6,4425.01
SUGARCANE,1.46,126,0.487,25.3,766.5,78626.5
WHEAT,2.0,75,0.822,28.6,299.9,6840.47
WHEAT,5.26,86,0.472,23.9,644.8,13025.63
SUGARCANE,5.36,229,0.685,16.1,657.7,388191.23
WHEAT,4.65,126,0.514,33.1,665.7,9892.48
SUGARCANE,5.73,330,0.774,31.6,317.2,455983.44
RICE,3.68,32,0.385,23.1,660.6,5924.93
RICE,3.04,107,0.631,22.4,234.7,9863.78
RICE,6.39,63,0.671,24.5,794.5,27326.43
COTTON,8.57,104,0.826,30.5,761.7,14739.78
COTTON,4.63,91,0.481,26.2,574.1,5666.96
COTTON,1.71,96,0.437,19.1,733.1,2104.32
COTTON,5.19,48,0.718,16.6,530.7,7987.24
PULSES,9.37,35,0.531,19.5,253.6,7043.37
MAIZE,4.4,52,0.736,28.4,69.6,20906.93
COTTON,7.44,47,0.744,27.8,511.9,12585.42
SUGARCANE,7.98,49,0.721,19.5,759.8,588855.6
COTTON,9.02,141,0.567,16.8,233.6,9738.78
WHEAT,5.0,107,0.788,30.5,630.0,18379.65
MAIZE,5.59,64,0.63,33.1,64.3,16597.63
COTTON,7.45,63,0.846,34.6,348.7,10131.47
MAIZE,7.94,66,0.715,20.6,158.1,52813.55
PULSES,2.06,47,0.731,33.3,193.4,1665.69
WHEAT,7.61,86,0.729,26.5,429.2,27229.04
PULSES,1.54,62,0.492,20.8,395.1,1122.15
COTTON,9.9,16,0.828,19.5,296.5,16498.48
RICE,1.5,59,0.72,30.5,70.7,4574.42
PULSES,2.85,87,0.767,30.2,111.0,1921.02
MAIZE,9.73,37,0.783,31.7,542.6,62324.33
PULSES,3.1,22,0.815,25.9,568.5,2942.74
RICE,9.57,120,0.77,15.8,795.5,39446.1
RICE,1.49,11,0.268,29.2,547.2,2284.6
RICE,0.95,49,0.621,32.9,79.0,1814.16
COTTON,8.61,40,0.759,15.7,773.6,13266.82
SUGARCANE,0.88,159,0.841,30.4,243.4,70438.68
MAIZE,3.37,43,0.639,19.2,198.1,16055.44
PULSES,5.04,22,0.838,26.8,204.1,5011.33
RICE,1.26,110,0.821,32.7,643.0,4531.45
WHEAT,7.94,35,0.712,32.0,62.2,18850.77
COTTON,6.86,11,0.837,26.1,541.4,11080.54
RICE,1.76,78,0.776,21.3,731.5,8080.0
RICE,7.84,87,0.737,32.0,326.4,34083.99
COTTON,2.28,28,0.808,16.6,738.5,3385.57
SUGARCANE,9.72,346,0.135,26.6,264.7,265342.49
WHEAT,1.63,82,0.418,19.7,740.1,4055.04
